# LAMMPS data file written by OVITO Basic 3.9.4

3864 atoms
4 atom types

0.0 130.0 xlo xhi
0.0 23.4464874124 ylo yhi
0.0 12.3617947322 zlo zhi
9.6639447442 -3.6477654233 6.1480271971 xy xz yz

Masses

1 12.0107  # C
2 1.00794  # H
3 15.9994  # O
4 14.0067  # N

Atoms  # charge

428 2 0.0 107.5651749866 13.9341012721 0.1024792783
429 4 0.0 93.3577120673 19.0106143279 12.2488079283
430 3 0.0 93.3359304959 16.4223293863 12.0983648864
431 1 0.0 92.5783663769 17.7389723332 12.2782289998
432 2 0.0 103.8807765314 15.4408511516 12.3307666274
433 1 0.0 110.3083245127 18.559560698 12.0513900664
434 1 0.0 109.0178411854 19.3704750581 12.1002191556
435 1 0.0 107.7343186582 18.5392149694 12.0840252045
436 1 0.0 107.7213533326 17.0206859856 12.0073820772
437 1 0.0 109.0202257443 16.2158856504 11.9416173292
438 1 0.0 110.3078610162 17.0371145486 11.9777137698
439 2 0.0 109.0111187864 20.5079600537 12.1777276086
440 2 0.0 109.0268132828 15.0765161711 11.8966203964
441 4 0.0 111.7104587281 19.0575355135 12.1640060164
442 3 0.0 111.7124695525 16.534888914 12.0408825409
443 1 0.0 112.5431654285 17.7938771471 12.1661075216
444 1 0.0 117.0691511418 17.7608192344 12.3584570476
445 1 0.0 116.3110687763 16.4282045075 12.3392962657
446 1 0.0 114.7857472175 16.4397230472 12.2950410406
447 1 0.0 114.0510242389 17.7844646344 12.2886129073
448 1 0.0 118.4548325998 12.967879882 0.0218803767
449 1 0.0 119.9810051167 12.9564938427 0.0541446609
450 2 0.0 114.2022038732 15.4616726583 12.2528873206
